"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050158,MSPB-1,1.125093,,01/01/2021,12/31/2021
050159,MSPB-1,0.989570,,01/01/2021,12/31/2021
050167,MSPB-1,1.014427,,01/01/2021,12/31/2021
050168,MSPB-1,1.027614,,01/01/2021,12/31/2021
050169,MSPB-1,0.971267,,01/01/2021,12/31/2021
050174,MSPB-1,1.015463,,01/01/2021,12/31/2021
050179,MSPB-1,0.925072,,01/01/2021,12/31/2021
050180,MSPB-1,0.965517,,01/01/2021,12/31/2021
050191,MSPB-1,1.080545,,01/01/2021,12/31/2021
050192,MSPB-1,0.900618,,01/01/2021,12/31/2021
050194,MSPB-1,0.932151,,01/01/2021,12/31/2021
050195,MSPB-1,1.010578,,01/01/2021,12/31/2021
050197,MSPB-1,0.949834,,01/01/2021,12/31/2021
050204,MSPB-1,1.031691,,01/01/2021,12/31/2021
050211,MSPB-1,0.993179,,01/01/2021,12/31/2021
050222,MSPB-1,0.975972,,01/01/2021,12/31/2021
050224,MSPB-1,1.007337,,01/01/2021,12/31/2021
050226,MSPB-1,1.062378,,01/01/2021,12/31/2021
050228,MSPB-1,0.957481,,01/01/2021,12/31/2021
050230,MSPB-1,1.068545,,01/01/2021,12/31/2021
050231,MSPB-1,0.973071,,01/01/2021,12/31/2021
050232,MSPB-1,0.978850,,01/01/2021,12/31/2021
050234,MSPB-1,0.959484,,01/01/2021,12/31/2021
050235,MSPB-1,1.047608,,01/01/2021,12/31/2021
050236,MSPB-1,1.043449,,01/01/2021,12/31/2021
050238,MSPB-1,1.135876,,01/01/2021,12/31/2021
050239,MSPB-1,1.096979,,01/01/2021,12/31/2021
050242,MSPB-1,0.996120,,01/01/2021,12/31/2021
050243,MSPB-1,1.039062,,01/01/2021,12/31/2021
050245,MSPB-1,1.037444,,01/01/2021,12/31/2021
050248,MSPB-1,1.030895,,01/01/2021,12/31/2021
050254,MSPB-1,0.928333,,01/01/2021,12/31/2021
050257,MSPB-1,1.132887,,01/01/2021,12/31/2021
050261,MSPB-1,0.983302,,01/01/2021,12/31/2021
050262,MSPB-1,1.032109,,01/01/2021,12/31/2021
050272,MSPB-1,0.962983,,01/01/2021,12/31/2021
050276,MSPB-1,0.840112,,01/01/2021,12/31/2021
050278,MSPB-1,0.999206,,01/01/2021,12/31/2021
050279,MSPB-1,0.927073,,01/01/2021,12/31/2021
050280,MSPB-1,0.971403,,01/01/2021,12/31/2021
050281,MSPB-1,1.184819,,01/01/2021,12/31/2021
050283,MSPB-1,0.994697,,01/01/2021,12/31/2021
050289,MSPB-1,0.930867,,01/01/2021,12/31/2021
050290,MSPB-1,1.014718,,01/01/2021,12/31/2021
050291,MSPB-1,0.944259,,01/01/2021,12/31/2021
050292,MSPB-1,1.078091,,01/01/2021,12/31/2021
050295,MSPB-1,0.991728,,01/01/2021,12/31/2021
050298,MSPB-1,1.055119,,01/01/2021,12/31/2021
050300,MSPB-1,0.982259,,01/01/2021,12/31/2021
050301,MSPB-1,0.941892,,01/01/2021,12/31/2021
050305,MSPB-1,0.999294,,01/01/2021,12/31/2021
050308,MSPB-1,0.998311,,01/01/2021,12/31/2021
050309,MSPB-1,0.925780,,01/01/2021,12/31/2021
050313,MSPB-1,0.961808,,01/01/2021,12/31/2021
050315,MSPB-1,0.987782,,01/01/2021,12/31/2021
050320,MSPB-1,1.032524,,01/01/2021,12/31/2021
050324,MSPB-1,0.966671,,01/01/2021,12/31/2021
