"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
VT,2021,100.00,100.00,N/A (5),N/A (5),0,1,0,0,88.54,88.54,0.28,0.28,0,1,0,0,0,0,0,1,N/A (5)
VT,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),97.80
WA,2021,95.14,96.88,100.00,100.00,1,47,0,5,91.03,100.00,0.28,0.26,0,47,0,36,0,9,0,14,N/A (5)
WA,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.60
WI,2021,94.00,96.88,N/A (5),N/A (5),0,25,0,2,98.50,98.85,0.23,0.15,0,28,0,18,0,4,1,9,N/A (5)
WI,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.10
WV,2021,80.85,85.29,N/A (5),N/A (5),0,4,0,0,94.93,96.00,0.20,0.26,0,2,0,2,0,0,0,0,N/A (5)
WV,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.40
WY,2021,75.03,73.26,93.87,87.40,0,10,0,4,91.80,100.00,0.07,0.00,0,9,0,6,0,1,0,4,N/A (5)
WY,2022_Q1,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),74.30
